cad_location_code,qsa_design,revision,position,element_type,origin_x,origin_y,rotation,text_height,element_size,is_active,created_at,updated_at,created_by
6-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",6,led_code_9,6-L9_x,6-L9_y,6-L9_r,6-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_1,7-L1_x,7-L1_y,7-L1_r,7-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_2,7-L2_x,7-L2_y,7-L2_r,7-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_3,7-L3_x,7-L3_y,7-L3_r,7-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_4,7-L4_x,7-L4_y,7-L4_r,7-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_5,7-L5_x,7-L5_y,7-L5_r,7-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_6,7-L6_x,7-L6_y,7-L6_r,7-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_7,7-L7_x,7-L7_y,7-L7_r,7-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_8,7-L8_x,7-L8_y,7-L8_r,7-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
7-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",7,led_code_9,7-L9_x,7-L9_y,7-L9_r,7-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L1,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_1,8-L1_x,8-L1_y,8-L1_r,8-L1_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L2,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_2,8-L2_x,8-L2_y,8-L2_r,8-L2_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L3,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_3,8-L3_x,8-L3_y,8-L3_r,8-L3_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L4,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_4,8-L4_x,8-L4_y,8-L4_r,8-L4_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L5,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_5,8-L5_x,8-L5_y,8-L5_r,8-L5_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L6,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_6,8-L6_x,8-L6_y,8-L6_r,8-L6_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L7,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_7,8-L7_x,8-L7_y,8-L7_r,8-L7_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L8,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_8,8-L8_x,8-L8_y,8-L8_r,8-L8_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
8-L9,"First 4 characters from text at x,y position 0,0","5th character from text at x,y position 0,0",8,led_code_9,8-L9_x,8-L9_y,8-L9_r,8-L9_t,NULL,1,CSV File Generation Date M/D/Y HH:MM:SS,NULL,1
